Name,Price,Rating,Specifications,Link,Brand,Model,Title,Warranty,Box Contents,Type,Design,Open or closed back,Fit,Impedance,Max frequency response,Min frequency response,Eartip size,Weight,Colours,Dimensions,Noise cancellation,Replaceable earbuds,Call control,Music control,Connectivity,Bluetooth version,Range,Bluetooth features,Microphone,Playback time,Charging type,Charging time,Compatible Models,Sensitivity,Foldable Design,Battery type,Battery capacity,Standby time,Colour(s),Driver Size,Connector,Driver type,Bluetooth audio codec,Bluetooth profile,Magnet Material,Noise isolation,Series,LED headphones,Max power input,Tangle free,Noise reduction,Cord Material,Plug type,Cable length,Cord type,Driver Material,Headphone housing type,Mic frequency,Other control,Mic type,Echo reduction,Detachable cable,Multidriver,Carrying Case Type
Philips SHQ1200 Headset,₹449,3.9,"In ear Wireless Earbuds, 13.5mm, Dynamic Driver, Tangle Free",https://www.mysmartprice.com/audio/philips-shq1200-headset-msf604428,Philips,SHQ1200,Philips SHQ1200 ActionFit Sports,1 Year,,Wired,In ear,Closed Back,In the Ear,32 Ohms,20000 Hz,30 Hz,"Large, Medium, Small",12 gm,,Overall :32 x 18 x 14 mm,,Yes,,,,,,,No,,,,,110 dB/mw,,,,,"Black, Orange, Purple",13.5 mm,3.5 mm jack,Dynamic Driver,,,Neodymium,,,,10 mW,Yes,,,Gold-plated Stereo Mini,1 Meter,Y shaped,,,,,,,,,
Wings Phantom 760 Bluetooth Headset,₹799,3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm Driver, Noise Cancellation, 200 hrs standby time",https://www.mysmartprice.com/audio/wings-phantom-760-bluetooth-headset-msf613414,Wings,Phantom 760,Wings Phantom 760,1 Year,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",43 gm,,Overall :40 x 100 x 100 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,,Yes,45 Hours,USB,1.5 Hours,"Mobile Phone, PC, Tablet",,No,Li-ion,,200 Hours,"Black, Grey",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 161 Pro Bluetooth Headset,"₹1,299",3.6,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-161-pro-bluetooth-headset-msf612864,Boat,Airdopes 161 Pro,Boat Airdopes 161 Pro,1 Year,"1 Pair of Earbuds, User Manual, Warranty Card, Type-C Charging Cable",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,40 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,380 mAh,,"Sleek Black, Green Cyan, Celestial Blue",10 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Philips SHS3201 Headset,"₹3,833",4.2,"In ear Wireless Earbuds, 15mm, Dynamic Driver, Tangle Free",https://www.mysmartprice.com/audio/philips-shs3201-headset-msf604015,Philips,SHS3201,Philips SHS3201,1 Year,,Wired,In ear,,Earhook,16 Ohms,20000 Hz,20 Hz,,175 gm,"Black, White",,,,,,3.5 mm jack,,,,No,,,,"Media player, Mobile Phone, Tablet",100 dB/mw,,,,,,,,Dynamic Driver,,,Neodymium,,,,15 mW,Yes,,Silicone,Nickel,1.2 Meter,Y shaped,Mylar,Plastic,,,,,,,
Number Super Buds 999 Bluetooth Headset,"₹1,299",3.9,"In ear Wireless Earbuds, Bluetooth v5.4, 60 hrs Playback Time, 12.4mm Driver, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/number-super-buds-999-bluetooth-headset-msf616859,Number,Super Buds 999,Number Super Buds 999,1 Year,"Warranty Card, Thank You card, Charging Cable, Ear Tip",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,", Active Noise Cancellation",,,,,5.4,,Auto Pairing,Yes,60 Hours,,1.5 Hours,,,,,,,"Steel Grey, Steel Black",12.4 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
DEFY Gravity Turbo Bluetooth Headset,"₹1,299",4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 30 hrs Playback Time, 10mm, Dynamic Driver, LED headphones",https://www.mysmartprice.com/audio/defy-gravity-turbo-bluetooth-headset-msf601846,DEFY,Gravity Turbo,DEFY Gravity Turbo,1 Year,"1 Pair of Earbuds, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,", Invincible Black",,,Yes,Answer / End,Volume Control,Bluetooth,5.1,,Auto Pairing,Yes,30 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,,,,,Yes,,,,,,,,,,,,,,,,
Skullcandy Jib TWS Bluetooth Headset,"₹2,899",3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 22 hrs Playback Time, 6mm, Dynamic Driver, Replaceable Earbuds, 1 hrs Charging Time",https://www.mysmartprice.com/audio/skullcandy-jib-tws-bluetooth-headset-msf601837,Skullcandy,Jib TWS,Skullcandy Jib TWS,1 Year,"Jib True Wireless Earbuds, Charging Case, Ear Gels (S, M, L), Micro- USB Charging Cable, User Guide",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",49 gm,", Black Orange, Golden Red, Light Grey Blue",Overall :134 x 198 x 43 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,22 Hours,USB,1 Hours,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Noise Beads Bluetooth Headset,"₹1,494",3.9,"In ear Wireless Earbuds, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/noise-beads-bluetooth-headset-msf602126,Noise,Beads,Noise Beads,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,Answer/End,Volume Control,,,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Wings Flobuds 200 Bluetooth Headset,₹699,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 13mm Driver, Noise Cancellation, 300 hrs standby time",https://www.mysmartprice.com/audio/wings-flobuds-200-bluetooth-headset-msf613041,Wings,Flobuds 200,Wings Flobuds 200,1 Year,"1 Pair of Earbuds, User Manual, Charging Case, Cable",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",44 gm,,Overall :53 x 26 x 69 mm,Yes,,Answer / End,Volume Control,,5.3,15 meter,Auto Pairing,Yes,50 Hours,USB Type-C,2.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,300 Hours,"Black, Blue, White, Navy Blue",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Jib 2 Bluetooth Headset,"₹2,799",3.4,"In ear Wireless Earbuds, Bluetooth v5.2, 33 hrs Playback Time, Noise Isolation",https://www.mysmartprice.com/audio/skullcandy-jib-2-bluetooth-headset-msf601795,Skullcandy,Jib 2,Skullcandy Jib 2,1 Year,"earbuds, micro usb charging cable, User Manual Guide",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",48 gm,", True black",Overall :31 x 90 x 145 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.2,,,Yes,33 Hours,USB,,"Mobile Phone, PC, Tablet",,Yes,Li-Polymer,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Samsung Galaxy Buds 2 Pro Bluetooth Headset,"₹7,999",4.4,"In ear Wireless Earbuds, Bluetooth v5.2, 18 hrs Playback Time, Noise Cancellation",https://www.mysmartprice.com/audio/samsung-galaxy-buds-2-pro-bluetooth-headset-msf601696,Samsung,Galaxy Buds 2 Pro,Samsung Galaxy Buds 2 Pro,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,18 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,,,"White, Bora Purple, Graphite",,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
JBL Wave Buds Bluetooth Headset,"₹2,499",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 8 hrs Playback Time, 8mm, Dynamic Driver, Replaceable Earbuds, 32 hrs standby time",https://www.mysmartprice.com/audio/jbl-wave-buds-bluetooth-headset-msf601308,JBL,Wave Buds,JBL Wave Buds,1 Year,"1 Pair Earbuds, Charging Case, USB Type-C Cable, 3 Sizes of Eartips, Warranty Card, Safety Sheet",Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",43 gm,,Overall :20.4 x 21.5 x 15.8 mm,,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,8 Hours,USB Type-C,2,"Mobile Phone, PC, Tablet",100 dB/mw,Yes,Li-Polymer,550 mAh,32 Hours,"Black, White, Mint, Beige",8 mm,Bluetooth,Dynamic Driver,A2DP  AVRCP  HFP,,,,,,,,,,,,,,,,,,,,,
Truke Buds Q1 Bluetooth Headset,₹999,3.7,"In ear Wireless Earbuds, Bluetooth v5.1, 10 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/truke-buds-q1-bluetooth-headset-msf602726,Truke,Buds Q1,Truke Buds Q1,6 Months,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,,,,,Yes,,Answer/End,Play/Pause,,5.1,10 meter,Auto Pairing,Yes,10 Hours,,,"Media player, Mobile Phone, Tablet",,,Li-Polymer,400 mAh,,Black,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boult Audio Astra Neo Bluetooth Headset,"₹1,099",4.1,"In ear Wireless Earbuds, Bluetooth v5.4, 70 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-astra-neo-bluetooth-headset-msf616329,Boult Audio,Astra Neo,Boult Audio Astra Neo,1 Year,"1 Pair of Earbuds, Charging Case, Charging Cable, User Manual, Warranty Card, Extra Pair of Ear Tips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.4,10 meter,Auto Pairing,Yes,70 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,No,Li-ion,,,"Black, White",13 mm,Bluetooth,,,,Neodymium,,,,,,,,,,,,,,,,,,,
Mivi Commando X7 Headset,"₹1,399",3.9,"In ear Wireless Earbuds, 50 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/mivi-commando-x7-headset-msf616772,Mivi,Commando X7,Mivi Commando X7,1 Year,"1 Pair of Earbuds, Charging Case, Type C Charging Cable, Quick Start Guide, Warranty Registration",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,,,,,,,,Yes,50 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,"Black, Blue, White",13 mm,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Buds 2 Bluetooth Headset,"₹5,999",4.5,"In ear Wireless Earbuds, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/samsung-galaxy-buds-2-bluetooth-headset-msf602678,Samsung,Galaxy Buds 2,Samsung Galaxy Buds 2,,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,Black,,Yes,Yes,,,Bluetooth,,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
JBL Vibe Beam Bluetooth Headset,"₹10,419",4.2,"In ear Wireless Earbuds, Replaceable Earbuds",https://www.mysmartprice.com/audio/jbl-vibe-beam-bluetooth-headset-msf613065,JBL,Vibe Beam,JBL Vibe Beam,,Ear Cushions,Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",48 gm,,Overall :32 x 89 x 127 mm,,Yes,Answer / End,Volume Control,,,10 meter,Auto Pairing,Yes,,,,"Mobile Phone, PC, Tablet",,,Li-ion,,,Black,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Noise Buds VS104 Max Bluetooth Headset,"₹1,299",3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/noise-buds-vs104-max-bluetooth-headset-msf612891,Noise,Buds VS104 Max,Noise Buds VS104 Max,1 Year,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",50 gm,,Overall :57.5 x 53 x 25.7 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,45 Hours,,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Jet Black, Rose Gold, Silver Grey",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Soundcore Life Note 3 Bluetooth Headset,"₹2,999",4.0,"In ear Wireless Earbuds, 35 hrs Playback Time, 11mm Driver, Noise Cancellation, 3 hrs Charging Time",https://www.mysmartprice.com/audio/soundcore-life-note-3-bluetooth-headset-msf602064,Soundcore,Life Note 3,Soundcore Life Note 3,18 Months,"Earbuds, Charging Case, USB Cable Type-C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",60 gm,Black,Overall :53.5 x 58.9 x 30.5 mm,Yes,Yes,Answer/End,Volume Control,Bluetooth,,10 meter,Auto Pairing,No,35 Hours,USB Type-C,3 Hours,"Media player, Mobile Phone, PC, Tablet",,Yes,,,,,,,,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,60 CM,,,,,,,,,,
Blaupunkt BTW300 Bluetooth Headset,"₹1,099",3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 8mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/blaupunkt-btw300-bluetooth-headset-msf613218,Blaupunkt,BTW300,Blaupunkt BTW300,1 Year,"1 Pair X Earbuds, 1 X Charging case, 1 X User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",143 gm,,Overall :15.7 x 39.4 x 39.4 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,40 Hours,,,"Mobile Phone, PC, Tablet",,,Li-Polymer,420 mAh,,"Black, Blue, Green, White",8 mm,Bluetooth,,A2DP,,,,,,,,,,,,,,,,,,,,,
JBL Wave Flex Bluetooth Headset,"₹1,999",4.4,"In ear Wireless Earbuds, Bluetooth v5.2, 32 hrs Playback Time, 12mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/jbl-wave-flex-bluetooth-headset-msf616362,JBL,Wave Flex,JBL Wave Flex,,"Earbud, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,32 Hours,,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, White",12 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Noise Buds Combat Bluetooth Headset,"₹1,699",3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/noise-buds-combat-bluetooth-headset-msf612711,Noise,Buds Combat,Noise Buds Combat,1 Year,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",35 gm,,Carrying case :61.6 x 25.6 x 44.5 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,45 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,"Shadow Grey, Stealth Black, Covert White",13 mm,Bluetooth,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
Beats Studio Buds Bluetooth Headset,"₹10,999",4.0,"In ear Wireless Earbuds, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/beats-studio-buds-bluetooth-headset-msf602596,Beats,Studio Buds,Beats Studio Buds,,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Answer/End,,,,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,Red,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Truke Buds S2 Bluetooth Headset,"₹1,098",3.8,"In ear Wireless Earbuds, Bluetooth v5.1, 48 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-buds-s2-bluetooth-headset-msf601901,Truke,Buds S2,Truke Buds S2,1 Year,"1 Pair of Earbuds, Charging Case, Type-C Cable, User Manual, Warranty Card, 2 Pairs of Ear Tips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",53 gm,"Black, Blue, White",Overall :307 x 596 x 616 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.1,10 meter,Auto Pairing,Yes,48 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-Polymer,300 mAh,180 Hours,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Jabra Elite 5 Bluetooth Headset,"₹6,999",3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 9 hrs Playback Time, Noise Cancellation, 275 Day standby time, 3 hrs Charging Time",https://www.mysmartprice.com/audio/jabra-elite-5-bluetooth-headset-msf604461,Jabra,Elite 5,Jabra Elite 5,2 Years,"Earbuds, 3 sets of EarGels, charging case, USB-C to USB-A cable, warranty and warning leaflet",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",40 gm,,Carrying case :38.9 x 26 x 64.1 mm  Overall :20.54 x 20 x 27 mm,Yes,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,9 Hours,USB Type-C,3 Hours,"Mobile Phone, PC, Tablet",,Yes,,,275 Day,"Black, White",,Bluetooth,,A2DP  AVRCP  HFP  HSP,,,,,,,,Yes,Silicone,,,,,,8000 Hz,,,,,,
Apple AirPods 3 Bluetooth Headset,"₹16,999",4.3,"In ear Wireless Earbuds, Bluetooth v5.0, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/apple-airpods-3-bluetooth-headset-msf602711,Apple,AirPods 3,Apple AirPods 3,,"Apple Airpods Pro. Wireless Charging Case, Lightning to USB-C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,10 Hz,"Large, Medium, Small",,White,,Yes,Yes,Answer/End,Skip Forward/Skip Back,Bluetooth,5.0,10 meter,,Yes,,Lightning Port,2 Hours,"Media player, Mobile Phone, Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabra Elite 3 Bluetooth Headset,"₹2,799",3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 6mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/jabra-elite-3-bluetooth-headset-msf602378,Jabra,Elite 3,Jabra Elite 3,,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,Purple,,,Yes,Touch Control,,Bluetooth,5.2,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Noise Air Buds Plus Bluetooth Headset,₹999,3.5,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/noise-air-buds-plus-bluetooth-headset-msf602496,Noise,Air Buds Plus,Noise Air Buds Plus,,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,Touch Control,,,5.0,10 meter,,Yes,,,1.5 Hours,"Media player, Mobile Phone, Tablet",,,,,,White,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Truke BTG Neo Bluetooth Headset,₹899,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 80 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/truke-btg-neo-bluetooth-headset-msf612107,Truke,BTG Neo,Truke BTG Neo,1 Year,"Earbuds, Charging Case, USB Cable Type-C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,80 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,Black,13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Jabra Elite 75t Bluetooth Headset,"₹10,423",3.9,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/jabra-elite-75t-bluetooth-headset-msf603505,Jabra,Elite 75t,Jabra Elite 75t,,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,,,,5.0,,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Blaupunkt BTW100 Xtreme Bluetooth Headset,"₹1,149",3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 90 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/blaupunkt-btw100-xtreme-bluetooth-headset-msf616193,Blaupunkt,BTW100 Xtreme,Blaupunkt BTW100 Xtreme,1 Year,"1 X Charging Cable, 1X PAIR OF EARBUDS, 1 X User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",90 gm,,Overall :41 x 101 x 102 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,90 Hours,,,"Mobile Phone, PC, Tablet",,,Li-ion,500 mAh,,"Black, Blue, White",10 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Blaupunkt BTW100 Bluetooth Headset,₹999,3.9,"In ear Wireless Earbuds, Bluetooth v5.1, 40 hrs Playback Time, Noise Cancellation",https://www.mysmartprice.com/audio/blaupunkt-btw100-bluetooth-headset-msf613219,Blaupunkt,BTW100,Blaupunkt BTW100,1 Year,"1 X Charging Cable, 1X PAIR OF EARBUDS, 1 X User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",132 gm,,Overall :42 x 100 x 102 mm,Yes,Yes,Answer / End,Volume Control,,5.1,10 meter,Auto Pairing,Yes,40 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-Polymer,80 mAh,,"Black, Blue, Green, White",,Bluetooth,,A2DP,,,,,,,,,,,,,,,,,,,,,
JBL Wave 200 TWS Bluetooth Headset,"₹1,794",3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 8mm, Dynamic Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/jbl-wave-200-tws-bluetooth-headset-msf601854,JBL,Wave 200 TWS,JBL Wave 200 TWS,1 Year,"1 Pair Headphone, Charging Case, USB Type-C Charging Cable, S/M/L Sizes of Eartips Each Pair, Warranty/Warning Informations, Quick Start Guide, Safety Sheet",Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",120 gm,"Black, Blue, White",Overall :30 x 88 x 123 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,20 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,548 mAh,,,,,Dynamic Driver,,A2DP  AVRCP  HFP,,,,,,,,,,,,,,,Voice Assistant via Touch Controls,,,,,
Ambrane Dots Play Bluetooth Headset,₹899,4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 19 hrs Playback Time, 13mm Driver, Noise Cancellation, 2.5 hrs Charging Time",https://www.mysmartprice.com/audio/ambrane-dots-play-bluetooth-headset-msf601891,Ambrane,Dots Play,Ambrane Dots Play,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",54 gm,Black,Overall :46 x 82 x 30 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.1,10 meter,Auto Pairing,Yes,19 Hours,USB Type-C,2.5 Hours,"Mobile Phone, PC, Tablet",,Yes,,300 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLAB Go Air Sport Bluetooth Headset,"₹1,599",3.6,"Bone conduction Wireless Earbuds, Bluetooth v5.1, 32 hrs Playback Time, 6mm Driver, Replaceable Earbuds, 60 hrs standby time",https://www.mysmartprice.com/audio/jlab-go-air-sport-bluetooth-headset-msf613222,Jlab,Go Air Sport,Jlab Go Air Sport,2 Years,"1 Pair of Earbuds, Charging Case, Integrated Charging Cable, Warranty Card, 3 Sets of Silicone Gel Tips",Wireless,Bone conduction,Closed Back,In the Ear,16 Ohms,,,"Large, Medium, Small",60 gm,,Overall :34.5 x 140.2 x 79 mm,,Yes,Answer / End,Volume Control,,5.1,10 meter,Auto Pairing,Yes,32 Hours,USB,2 Hours,"Mobile Phone, PC, Tablet",,No,Li-Polymer,350 mAh,60 Hours,"Black, Yellow, Teal",6 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Wings Phantom 200 Bluetooth Headset,₹699,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 8 hrs Playback Time, 13mm, Dynamic Driver, Noise Reduction, 50 hrs standby time",https://www.mysmartprice.com/audio/wings-phantom-200-bluetooth-headset-msf601472,Wings,Phantom 200,Wings Phantom 200,1 Year,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Wireless,In ear canalphone,Open Back,In the Ear,,,,"Large, Medium, Small",100 gm,"Black, White",Overall :25 x 150 x 25 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.2,15 meter,Auto Pairing,Yes,8 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,50 Hours,,,,Dynamic Driver,,,,,,,,,Yes,,,,,,,,,,,,,
